cell,source,width,value
fl_max,nam,9,12.45
fl_max,nam,10,21.82
fl_max,nam,11,21.94
fl_max,nam,12,16.64
fl_max,nam,13,15.26
fl_max,nam,14,15.87
fl_max,nam,15,10.74
fl_max,nam,16,5.24
fl_max,nam,17,-0.19
fl_max,nam,18,-5.29
fl_max,nam,19,-10.13
fl_max,nam,20,-10.77
fl_max,nam,21,-14.65
fl_max,nam,22,-14.06
fl_max,nam,23,-12.95
fl_max,nam,24,-15.2
fl_mod,gtr2,8,3.4112
fl_mod,gtr2,9,0.2130
fl_mod,gtr2,10,-0.5688
fl_mod,gtr2,11,-0.5173
fl_mod,gtr2,12,1.8532
fl_mod,gtr2,13,15.1909
fl_mod,gtr2,14,10.6085
fl_mod,gtr2,15,4.6795
fl_mod,gtr2,16,-1.8445
fl_mod,gtr2,17,-8.6571
fl_mod,gtr2,18,-14.9613
fl_mod,gtr2,19,-20.8707
fl_mod,gtr2,20,-26.7734
fl_mod,gtr2,21,-32.4910
fl_mod,gtr2,22,-38.0340
fl_mod,gtr2,23,-41.8526
fl_mod,gtr2,24,-43.6237
fl_mod,gtr4sg,8,1.4367
fl_mod,gtr4sg,9,0.1626
fl_mod,gtr4sg,10,0.1104
fl_mod,gtr4sg,11,0.1622
fl_mod,gtr4sg,12,1.8191
fl_mod,gtr4sg,13,0.6382
fl_mod,gtr4sg,14,7.6305
fl_mod,gtr4sg,15,2.3325
fl_mod,gtr4sg,16,-3.2163
fl_mod,gtr4sg,17,-9.2554
fl_mod,gtr4sg,18,-15.2214
fl_mod,gtr4sg,19,-21.1647
fl_mod,gtr4sg,20,-27.1358
fl_mod,gtr4sg,21,-32.5952
fl_mod,gtr4sg,22,-38.0511
fl_mod,gtr4sg,23,-41.2540
fl_mod,gtr4sg,24,-42.4366
fl_mod,prvtgtr,8,10.2387
fl_mod,prvtgtr,9,1.8819
fl_mod,prvtgtr,10,0.5406
fl_mod,prvtgtr,11,-0.4126
fl_mod,prvtgtr,12,1.6116
fl_mod,prvtgtr,13,0.1822
fl_mod,prvtgtr,14,9.0697
fl_mod,prvtgtr,15,3.6427
fl_mod,prvtgtr,16,-2.3079
fl_mod,prvtgtr,17,-8.3756
fl_mod,prvtgtr,18,-14.3516
fl_mod,prvtgtr,19,-20.1781
fl_mod,prvtgtr,20,-25.5417
fl_mod,prvtgtr,21,-30.3103
fl_mod,prvtgtr,22,-34.0870
fl_mod,prvtgtr,23,-35.2742
fl_mod,prvtgtr,24,-35.4061
fl_mod,ytbass,8,4.9752
fl_mod,ytbass,9,1.2423
fl_mod,ytbass,10,0.3168
fl_mod,ytbass,11,0.2675
fl_mod,ytbass,12,2.0833
fl_mod,ytbass,13,0.8693
fl_mod,ytbass,14,7.4247
fl_mod,ytbass,15,2.5363
fl_mod,ytbass,16,-2.8150
fl_mod,ytbass,17,-8.7346
fl_mod,ytbass,18,-14.9720
fl_mod,ytbass,19,-21.2887
fl_mod,ytbass,20,-27.5187
fl_mod,ytbass,21,-33.4869
fl_mod,ytbass,22,-39.0721
fl_mod,ytbass,23,-42.4728
fl_mod,ytbass,24,-43.8195
fl_mod,nam,8,8.98
fl_mod,nam,9,6.72
fl_mod,nam,10,6.25
fl_mod,nam,11,13.29
fl_mod,nam,12,18.37
fl_mod,nam,13,13.41
fl_mod,nam,14,14.24
fl_mod,nam,15,8.19
fl_mod,nam,16,2.43
fl_mod,nam,17,-3.73
fl_mod,nam,18,-10.57
fl_mod,nam,19,-16.39
fl_mod,nam,20,-22.13
fl_mod,nam,21,-24.31
fl_mod,nam,22,-30.82
fl_mod,nam,23,-36.8
fl_mod,nam,24,-36.56
