cell,source,width,value
rodent_mod,nam,10,-3.744
rodent_mod,nam,11,-2.732
rodent_mod,nam,12,-3.817
rodent_mod,nam,13,-3.596
rodent_mod,nam,14,-2.489
rodent_mod,nam,15,-1.531
rodent_mod,nam,16,-0.990
rodent_mod,nam,17,-0.678
rodent_mod,nam,18,-0.477
rodent_mod,nam,19,-0.394
rodent_mod,nam,20,-0.333
rodent_mod,nam,21,-0.441
rodent_mod,nam,22,-0.206
rodent_mod,nam,23,-0.139
rodent_mod,nam,24,-0.246
gt_max,gtr2,8,-3.910
gt_max,gtr2,9,-3.906
gt_max,gtr2,10,-3.888
gt_max,gtr2,11,-3.879
gt_max,gtr2,12,-3.773
gt_max,gtr2,13,-3.198
gt_max,gtr2,14,-2.199
gt_max,gtr2,15,-1.444
gt_max,gtr2,16,-0.957
gt_max,gtr2,17,-0.631
gt_max,gtr2,18,-0.382
gt_max,gtr2,19,-0.170
gt_max,gtr2,20,-0.164
gt_max,gtr2,21,0.104
gt_max,gtr2,22,0.164
gt_max,gtr2,23,0.169
gt_max,gtr2,24,0.170
gt_max,gtr4sg,8,-3.889
gt_max,gtr4sg,9,-3.838
gt_max,gtr4sg,10,-3.684
gt_max,gtr4sg,11,-3.425
gt_max,gtr4sg,12,-2.715
gt_max,gtr4sg,13,-2.065
gt_max,gtr4sg,14,-1.635
gt_max,gtr4sg,15,-1.387
gt_max,gtr4sg,16,-0.968
gt_max,gtr4sg,17,-0.664
gt_max,gtr4sg,18,-0.388
gt_max,gtr4sg,19,-0.209
gt_max,gtr4sg,20,-0.107
gt_max,gtr4sg,21,0.078
gt_max,gtr4sg,22,0.158
gt_max,gtr4sg,23,0.162
gt_max,gtr4sg,24,0.163
gt_max,prvtgtr,8,-3.848
gt_max,prvtgtr,9,-3.828
gt_max,prvtgtr,10,-3.644
gt_max,prvtgtr,11,-3.304
gt_max,prvtgtr,12,-2.449
gt_max,prvtgtr,13,-1.490
gt_max,prvtgtr,14,-1.004
gt_max,prvtgtr,15,-0.819
gt_max,prvtgtr,16,-0.602
gt_max,prvtgtr,17,-0.457
gt_max,prvtgtr,18,-0.276
gt_max,prvtgtr,19,-0.111
gt_max,prvtgtr,20,-0.096
gt_max,prvtgtr,21,0.131
gt_max,prvtgtr,22,0.157
gt_max,prvtgtr,23,0.158
gt_max,prvtgtr,24,0.159
gt_max,ytbass,8,-3.862
gt_max,ytbass,9,-3.864
gt_max,ytbass,10,-3.829
gt_max,ytbass,11,-3.764
gt_max,ytbass,12,-3.490
gt_max,ytbass,13,-2.772
gt_max,ytbass,14,-1.758
gt_max,ytbass,15,-1.134
gt_max,ytbass,16,-0.685
gt_max,ytbass,17,-0.473
gt_max,ytbass,18,-0.300
gt_max,ytbass,19,-0.165
gt_max,ytbass,20,-0.117
gt_max,ytbass,21,0.117
gt_max,ytbass,22,0.174
gt_max,ytbass,23,0.176
gt_max,ytbass,24,0.177
gt_max,nam,8,-3.898
gt_max,nam,9,-3.890
gt_max,nam,10,-3.847
gt_max,nam,11,-3.759
gt_max,nam,12,-3.482
gt_max,nam,13,-2.781
gt_max,nam,14,-1.866
gt_max,nam,15,-1.411
gt_max,nam,16,-0.884
gt_max,nam,17,-0.606
gt_max,nam,18,-0.404
gt_max,nam,19,-0.252
gt_max,nam,20,-0.163
gt_max,nam,21,0.075
gt_max,nam,22,0.152
gt_max,nam,23,0.155
gt_max,nam,24,0.157
gt_mod,gtr2,8,-3.913
gt_mod,gtr2,9,-3.909
gt_mod,gtr2,10,-3.905
gt_mod,gtr2,11,-3.883
gt_mod,gtr2,12,-3.750
gt_mod,gtr2,13,-3.078
gt_mod,gtr2,14,-1.847
gt_mod,gtr2,15,-0.943
gt_mod,gtr2,16,-0.488
gt_mod,gtr2,17,-0.230
gt_mod,gtr2,18,-0.118
gt_mod,gtr2,19,0.046
gt_mod,gtr2,20,0.119
gt_mod,gtr2,21,0.156
gt_mod,gtr2,22,0.182
gt_mod,gtr2,23,0.183
gt_mod,gtr2,24,0.183
gt_mod,gtr4sg,8,-3.905
gt_mod,gtr4sg,9,-3.869
gt_mod,gtr4sg,10,-3.765
gt_mod,gtr4sg,11,-3.535
gt_mod,gtr4sg,12,-2.695
gt_mod,gtr4sg,13,-1.553
gt_mod,gtr4sg,14,-1.066
gt_mod,gtr4sg,15,-0.620
gt_mod,gtr4sg,16,-0.354
gt_mod,gtr4sg,17,-0.192
gt_mod,gtr4sg,18,-0.044
gt_mod,gtr4sg,19,0.070
gt_mod,gtr4sg,20,0.127
gt_mod,gtr4sg,21,0.161
gt_mod,gtr4sg,22,0.186
gt_mod,gtr4sg,23,0.187
gt_mod,gtr4sg,24,0.187
gt_mod,prvtgtr,8,-3.900
gt_mod,prvtgtr,9,-3.877
gt_mod,prvtgtr,10,-3.808
gt_mod,prvtgtr,11,-3.515
gt_mod,prvtgtr,12,-2.878
gt_mod,prvtgtr,13,-2.026
gt_mod,prvtgtr,14,-1.265
gt_mod,prvtgtr,15,-0.800
gt_mod,prvtgtr,16,-0.461
gt_mod,prvtgtr,17,-0.195
gt_mod,prvtgtr,18,-0.061
gt_mod,prvtgtr,19,0.128
gt_mod,prvtgtr,20,0.166
gt_mod,prvtgtr,21,0.181
gt_mod,prvtgtr,22,0.189
gt_mod,prvtgtr,23,0.190
gt_mod,prvtgtr,24,0.189
gt_mod,ytbass,8,-3.908
gt_mod,ytbass,9,-3.898
gt_mod,ytbass,10,-3.874
gt_mod,ytbass,11,-3.809
gt_mod,ytbass,12,-3.542
gt_mod,ytbass,13,-2.692
gt_mod,ytbass,14,-1.589
gt_mod,ytbass,15,-0.899
gt_mod,ytbass,16,-0.539
gt_mod,ytbass,17,-0.288
gt_mod,ytbass,18,-0.152
gt_mod,ytbass,19,0.066
gt_mod,ytbass,20,0.136
gt_mod,ytbass,21,0.165
gt_mod,ytbass,22,0.182
gt_mod,ytbass,23,0.182
gt_mod,ytbass,24,0.183
gt_mod,nam,8,-3.908
gt_mod,nam,9,-3.894
gt_mod,nam,10,-3.880
gt_mod,nam,11,-3.744
gt_mod,nam,12,-3.267
gt_mod,nam,13,-2.277
gt_mod,nam,14,-1.347
gt_mod,nam,15,-0.778
gt_mod,nam,16,-0.480
gt_mod,nam,17,-0.284
gt_mod,nam,18,-0.115
gt_mod,nam,19,0.052
gt_mod,nam,20,0.121
gt_mod,nam,21,0.160
gt_mod,nam,22,0.184
gt_mod,nam,23,0.184
gt_mod,nam,24,0.184
fl_max,gtr2,8,-3.905
fl_max,gtr2,9,-3.880
fl_max,gtr2,10,-3.700
fl_max,gtr2,11,-3.340
fl_max,gtr2,12,-3.115
fl_max,gtr2,13,-3.810
fl_max,gtr2,14,-2.492
fl_max,gtr2,15,-2.061
fl_max,gtr2,16,-1.590
fl_max,gtr2,17,-0.802
