cell,source,width,value
gt_mod,prvtgtr,22,-76.46
gt_mod,prvtgtr,23,-76.51
gt_mod,prvtgtr,24,-76.59
gt_mod,ytbass,8,7.88
gt_mod,ytbass,9,1.64
gt_mod,ytbass,10,-6.81
gt_mod,ytbass,11,-11.67
gt_mod,ytbass,12,-17.57
gt_mod,ytbass,13,-24.91
gt_mod,ytbass,14,-32.83
gt_mod,ytbass,15,-40.20
gt_mod,ytbass,16,-48.19
gt_mod,ytbass,17,-53.14
gt_mod,ytbass,18,-60.15
gt_mod,ytbass,19,-66.50
gt_mod,ytbass,20,-70.73
gt_mod,ytbass,21,-76.81
gt_mod,ytbass,22,-86.63
gt_mod,ytbass,23,-85.97
gt_mod,ytbass,24,-86.32
gt_mod,nam,8,4.60
gt_mod,nam,9,0.69
gt_mod,nam,10,-4.80
gt_mod,nam,11,-9.82
gt_mod,nam,12,-14.84
gt_mod,nam,13,-20.64
gt_mod,nam,14,-27.68
gt_mod,nam,15,-33.60
gt_mod,nam,16,-40.38
gt_mod,nam,17,-45.88
gt_mod,nam,18,-52.64
gt_mod,nam,19,-58.29
gt_mod,nam,20,-62.39
gt_mod,nam,21,-67.83
gt_mod,nam,22,-77.93
gt_mod,nam,23,-77.66
gt_mod,nam,24,-77.55
fl_max,gtr2,8,1.50
fl_max,gtr2,9,0.34
fl_max,gtr2,10,0.92
fl_max,gtr2,11,0.57
fl_max,gtr2,12,0.02
fl_max,gtr2,13,-11.52
fl_max,gtr2,14,-20.60
fl_max,gtr2,15,-27.71
fl_max,gtr2,16,-34.39
fl_max,gtr2,17,-41.04
fl_max,gtr2,18,-47.97
fl_max,gtr2,19,-55.37
fl_max,gtr2,20,-61.56
fl_max,gtr2,21,-63.98
fl_max,gtr2,22,-72.33
fl_max,gtr2,23,-74.43
fl_max,gtr2,24,-75.37
fl_max,gtr4sg,8,1.10
fl_max,gtr4sg,9,-0.05
fl_max,gtr4sg,10,0.25
fl_max,gtr4sg,11,0.32
fl_max,gtr4sg,12,0.10
fl_max,gtr4sg,13,-0.95
fl_max,gtr4sg,14,-22.52
fl_max,gtr4sg,15,-29.02
fl_max,gtr4sg,16,-35.87
fl_max,gtr4sg,17,-42.10
fl_max,gtr4sg,18,-47.84
fl_max,gtr4sg,19,-55.36
fl_max,gtr4sg,20,-61.90
fl_max,gtr4sg,21,-67.52
fl_max,gtr4sg,22,-72.85
fl_max,gtr4sg,23,-75.64
fl_max,gtr4sg,24,-76.46
fl_max,prvtgtr,8,1.71
fl_max,prvtgtr,9,-0.07
fl_max,prvtgtr,10,0.27
fl_max,prvtgtr,11,0.33
fl_max,prvtgtr,12,0.09
fl_max,prvtgtr,13,-5.99
fl_max,prvtgtr,14,-22.37
fl_max,prvtgtr,15,-30.35
fl_max,prvtgtr,16,-38.55
fl_max,prvtgtr,17,-44.78
fl_max,prvtgtr,18,-49.77
fl_max,prvtgtr,19,-56.34
fl_max,prvtgtr,20,-62.89
fl_max,prvtgtr,21,-67.41
fl_max,prvtgtr,22,-74.38
