sample,dry_input,golden_fp32_output
781,0.247861221,0.139612496
782,0.241481453,0.140537605
783,0.230969876,0.141244918
784,0.216506347,0.141777158
785,0.19833833,0.142104685
786,0.176776692,0.142165393
787,0.152190357,0.142058492
788,0.125,0.142096579
789,0.0956708565,0.142421782
790,0.0647047609,0.142762631
791,0.0326315463,0.141986534
792,1.22155187e-16,0.13167879
793,-0.0326315463,0.0632729232
794,-0.0647047609,-0.00638009608
795,-0.0956708565,-0.0590274595
796,-0.125,-0.0850510597
797,-0.152190357,-0.1042739
798,-0.176776692,-0.11451818
799,-0.19833833,-0.124853678
800,-0.216506347,-0.133276671
801,-0.230969876,-0.136818528
802,-0.241481453,-0.139506921
803,-0.247861221,-0.141351923
804,-0.25,-0.142093286
805,-0.247861221,-0.142301381
806,-0.241481453,-0.142231807
807,-0.230969876,-0.142074406
808,-0.216506347,-0.141958654
809,-0.19833833,-0.141896546
810,-0.176776692,-0.141852558
811,-0.152190357,-0.141778693
812,-0.125,-0.141608775
813,-0.0956708565,-0.141303241
814,-0.0647047609,-0.140957341
815,-0.0326315463,-0.140656382
816,7.35407081e-16,-0.13857922
817,0.0326315463,-0.100257568
818,0.0647047609,0.000370159745
819,0.0956708565,0.0417821109
820,0.125,0.0770901144
821,0.152190357,0.0982551724
822,0.176776692,0.111384451
823,0.19833833,0.120104522
824,0.216506347,0.126490578
825,0.230969876,0.130925626
826,0.241481453,0.134080857
827,0.247861221,0.13638784
828,0.25,0.138066456
829,0.247861221,0.13932246
830,0.241481453,0.140253931
831,0.230969876,0.14096573
832,0.216506347,0.14150086
833,0.19833833,0.141830117
834,0.176776692,0.141894057
835,0.152190357,0.14179498
836,0.125,0.141844586
837,0.0956708565,0.142179012
838,0.0647047609,0.142523199
839,0.0326315463,0.141736478
840,1.95974434e-15,0.131302446
841,-0.0326315463,0.062324211
842,-0.0647047609,-0.00702154636
843,-0.0956708565,-0.0594402328
844,-0.125,-0.085388273
845,-0.152190357,-0.104561269
846,-0.176776692,-0.114756495
847,-0.19833833,-0.125102967
848,-0.216506347,-0.133529127
849,-0.230969876,-0.137060702
850,-0.241481453,-0.139758527
851,-0.247861221,-0.141610265
852,-0.25,-0.142353743
853,-0.247861221,-0.142564625
854,-0.241481453,-0.142496064
855,-0.230969876,-0.142338902
856,-0.216506347,-0.142223328
857,-0.19833833,-0.142161533
858,-0.176776692,-0.14211832
859,-0.152190357,-0.142045692
860,-0.125,-0.141877115
861,-0.0956708565,-0.141572148
862,-0.0647047609,-0.141225338
863,-0.0326315463,-0.140923992
864,-4.65489582e-15,-0.138888061
865,0.0326315463,-0.101364128
866,0.0647047609,3.97861004e-05
867,0.0956708565,0.0412502661
868,0.125,0.0766967237
869,0.152190357,0.0978733599
870,0.176776692,0.111039042
871,0.19833833,0.119779289
872,0.216506347,0.126177758
873,0.230969876,0.13062942
874,0.241481453,0.133794427
875,0.247861221,0.136111483
876,0.25,0.137798816
877,0.247861221,0.139062241
878,0.241481453,0.14000015
879,0.230969876,0.140716434
880,0.216506347,0.14125444
881,0.19833833,0.141585425
882,0.176776692,0.141652659
