cell,src,width,rho_L,beta_dBdB,n_frames,n_dropped,esr_db,ref_len,test_len,truncated,status,pairs_file,ref,test
gt_mod,ytbass,18,-0.6197,-0.1034,28387,0,-60.15,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w18.f32
gt_mod,ytbass,19,-0.5639,-0.0963,28387,0,-66.50,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w19.f32
gt_mod,ytbass,20,-0.4967,-0.0664,28387,0,-70.73,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w20.f32
gt_mod,ytbass,21,-0.5146,-0.0767,28387,0,-76.81,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w21.f32
gt_mod,ytbass,22,-0.4697,-0.0560,28387,0,-86.63,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w22.f32
gt_mod,ytbass,23,-0.1359,-0.0152,28387,0,-85.97,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w23.f32
gt_mod,ytbass,24,-0.2823,-0.0346,28387,0,-86.32,29071200,29071200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_gt_mod/anchor_ytbass_ref32.f32,<ELLE_HB>/peaq/board_music/board_ytbass_gt_mod_w24.f32
fl_max,nam,8,0.8189,0.2974,8794,0,0.76,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w8.f32
fl_max,nam,9,0.8501,0.3603,8794,0,-0.00,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w9.f32
fl_max,nam,10,0.8380,0.3352,8794,0,0.15,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w10.f32
fl_max,nam,11,0.7636,0.2645,8794,0,0.22,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w11.f32
fl_max,nam,12,0.8458,0.4183,8794,0,-0.02,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w12.f32
fl_max,nam,13,0.5605,0.2893,8794,0,-0.21,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w13.f32
fl_max,nam,14,0.1342,0.0601,8794,0,-20.68,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w14.f32
fl_max,nam,15,0.0393,0.0150,8794,0,-27.69,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w15.f32
fl_max,nam,16,-0.0527,-0.0226,8794,0,-34.75,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w16.f32
fl_max,nam,17,-0.0899,-0.0348,8794,0,-39.94,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w17.f32
fl_max,nam,18,-0.2149,-0.0907,8794,0,-42.59,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w18.f32
fl_max,nam,19,-0.1640,-0.0794,8794,0,-47.11,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w19.f32
fl_max,nam,20,-0.1834,-0.0808,8794,0,-47.21,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w20.f32
fl_max,nam,21,-0.2062,-0.0927,8794,0,-47.82,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w21.f32
fl_max,nam,22,-0.1449,-0.0511,8794,0,-48.20,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w22.f32
fl_max,nam,23,-0.2022,-0.0777,8794,0,-47.38,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w23.f32
fl_max,nam,24,-0.2258,-0.0816,8794,0,-50.18,9007200,9007200,0,OK,pairs_nam85.csv,<ELLE_HB>/peaq/cellrefs_nam/anchor_nam_ref32_fl_max.f32,<ELLE_HB>/peaq/board_nam/board_nam_fl_max_w24.f32
fl_max,gtr2,8,0.8852,0.4703,20606,0,1.50,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w8.f32
fl_max,gtr2,9,0.9041,0.5920,20606,0,0.34,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w9.f32
fl_max,gtr2,10,0.8797,0.4244,20606,0,0.92,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w10.f32
fl_max,gtr2,11,0.9040,0.4952,20606,0,0.57,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w11.f32
fl_max,gtr2,12,0.9275,0.7687,20606,0,0.02,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w12.f32
fl_max,gtr2,13,-0.0326,-0.0275,20606,0,-11.52,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w13.f32
fl_max,gtr2,14,-0.3635,-0.3326,20606,0,-20.60,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w14.f32
fl_max,gtr2,15,-0.6052,-0.4290,20606,0,-27.71,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w15.f32
fl_max,gtr2,16,-0.6247,-0.6028,20606,0,-34.39,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w16.f32
fl_max,gtr2,17,-0.6900,-0.5688,20606,0,-41.04,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w17.f32
fl_max,gtr2,18,-0.6708,-0.6116,20606,0,-47.97,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w18.f32
fl_max,gtr2,19,-0.6201,-0.6136,20606,0,-55.37,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w19.f32
fl_max,gtr2,20,-0.5921,-0.5164,20606,0,-61.56,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w20.f32
fl_max,gtr2,21,-0.6235,-0.5328,20606,0,-63.98,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w21.f32
fl_max,gtr2,22,-0.5324,-0.4452,20606,0,-72.33,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w22.f32
fl_max,gtr2,23,-0.5303,-0.4385,20606,0,-74.43,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w23.f32
fl_max,gtr2,24,-0.5121,-0.4087,20606,0,-75.37,21103200,21103200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr2_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr2_fl_max_w24.f32
fl_max,gtr4sg,8,0.8922,0.3842,17090,0,1.10,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w8.f32
fl_max,gtr4sg,9,0.9661,0.7743,17090,0,-0.05,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w9.f32
fl_max,gtr4sg,10,0.9163,0.4961,17090,0,0.25,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w10.f32
fl_max,gtr4sg,11,0.8900,0.3912,17090,0,0.32,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w11.f32
fl_max,gtr4sg,12,0.9380,0.6108,17090,0,0.10,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w12.f32
fl_max,gtr4sg,13,0.5078,0.4226,17090,0,-0.95,17503200,17503200,0,OK,pairs_music340.csv,<ELLE_HB>/peaq/cellrefs_fl_max/anchor_gtr4sg_ref32.f32,<ELLE_HB>/peaq/board_music/board_gtr4sg_fl_max_w13.f32
